date,state,name,code,cases,deaths
2020-09-04,SP,Sao Luiz Do Paraitinga,355000,0,5
2020-08-07,TO,Recursolandia,171850,0,0
2020-07-13,TO,Formoso Do Araguaia,170820,0,4
2020-07-23,SP,Vera Cruz,355660,0,1
2020-11-13,TO,Divinopolis Do Tocantins,170710,0,0
2020-09-04,TO,Campos Lindos,170384,12,2
2020-06-19,SP,Severinia,355190,1,0
2020-04-15,SP,Sao Lourenco Da Serra,354995,0,0
2020-05-22,TO,Silvanopolis,172065,0,0
2020-08-04,SP,Santo Antonio Da Alegria,354790,3,2
2020-11-26,TO,Wanderlandia,172208,1,6
2020-12-04,TO,Goiatins,170900,0,5
2020-05-06,TO,Alvorada,170070,0,0
2020-10-24,SP,Tarabai,355390,0,5
2020-12-05,TO,Porto Alegre Do Tocantins,171800,0,1
2020-12-01,TO,Palmeiropolis,171575,0,7
2020-04-05,TO,Ponte Alta Do Bom Jesus,171780,0,0
2020-09-03,TO,Ponte Alta Do Tocantins,171790,2,1
2020-06-22,SP,Sao Joao De Iracema,354925,1,0
2020-06-22,TO,Aparecida Do Rio Negro,170110,0,0
2020-03-27,TO,Mateiros,171270,0,0
2020-09-03,TO,Aragominas,170130,12,2
2020-08-29,TO,Taguatinga,172090,1,3
2020-09-17,SP,Santo Antonio Do Aracangua,354805,2,6
2020-11-29,SP,Santana De Parnaiba,354730,8,114
2020-04-02,TO,Aguiarnopolis,170030,0,0
2020-06-03,TO,Aurora Do Tocantins,170270,0,0
2020-10-09,TO,Alianca Do Tocantins,170035,2,2
2020-03-30,TO,Tupirama,172125,0,0
2020-10-08,SP,Santa Cruz Das Palmeiras,354630,1,20
2020-09-11,TO,Xambioa,172210,28,11
2020-06-13,TO,Santa Rosa Do Tocantins,171890,0,0
2020-12-05,TO,Gurupi,170950,23,59
2020-09-09,SP,Terra Roxa,355440,0,3
2020-04-16,TO,Pium,171750,0,0
2020-10-26,TO,Mateiros,171270,0,0
2020-04-14,TO,Itacaja,171050,0,0
2020-12-06,TO,Monte Do Carmo,171360,0,1
2020-03-29,SP,Sarapui,355110,0,0
2020-10-08,TO,Recursolandia,171850,0,1
2020-12-07,SP,Turiuba,355520,0,2
2020-07-12,TO,Caseara,170390,0,1
2020-04-03,TO,Taguatinga,172090,0,0
2020-12-03,TO,Tupiratins,172130,0,0
2020-09-06,TO,Tabocao,170825,0,3
2020-08-29,TO,Conceicao Do Tocantins,170560,0,3
2020-05-02,TO,Recursolandia,171850,0,0
2020-06-26,TO,Colinas Do Tocantins,170550,9,3
2020-08-21,SP,Jaboticabal,352430,18,25
2020-06-19,SP,Tupa,355500,1,2
2020-08-17,TO,Aragominas,170130,0,2
2020-05-02,SP,Salesopolis,354500,0,1
2020-10-21,TO,Arapoema,170230,2,4
2020-09-30,TO,Carmolandia,170388,0,1
2020-10-01,TO,Nova Rosalandia,171500,4,4
2020-10-17,TO,Miracema Do Tocantins,171320,8,9
2020-11-30,SP,Sao Jose Da Bela Vista,354950,0,4
2020-10-09,SP,Vitoria Brasil,355695,0,0
2020-05-12,SP,Sertaozinho,355170,2,2
2020-07-16,TO,Pedro Afonso,171650,1,2
2020-03-27,SP,Sao Miguel Arcanjo,355020,0,0
2020-11-02,TO,Tocantinopolis,172120,0,21
2020-06-10,TO,Figueiropolis,170765,0,1
2020-08-02,TO,Sao Salvador Do Tocantins,172025,0,0
2020-09-17,TO,Taipas Do Tocantins,172093,7,0
2020-06-24,TO,Parana,171620,0,0
2020-06-20,TO,Nazare,171430,1,2
2020-08-27,TO,Rio Sono,171875,3,1
2020-07-08,SP,Sorocaba,355220,75,152
2020-11-23,TO,Darcinopolis,170650,0,5
2020-10-03,TO,Buriti Do Tocantins,170380,0,0
2020-09-01,SP,Osvaldo Cruz,353460,7,6
2020-04-22,SP,Presidente Epitacio,354130,0,0
2020-11-11,SP,Vargem,355635,0,1
2020-07-17,SP,Tabapua,355260,0,10
2020-11-10,TO,Barrolandia,170310,1,4
2020-05-25,TO,Pugmil,171845,0,0
2020-06-09,TO,Guarai,170930,4,4
2020-05-05,SP,Salesopolis,354500,2,1
2020-12-02,SP,Pompeia,354000,1,4
2020-12-06,SP,Pindorama,353810,0,17
2020-05-19,TO,Pequizeiro,171665,0,0
2020-11-14,TO,Porto Nacional,171820,4,51
2020-06-07,TO,Formoso Do Araguaia,170820,-3,1
2020-11-05,TO,Novo Acordo,171510,0,0
2020-05-24,SP,Taquaral,355365,0,0
2020-08-19,TO,Recursolandia,171850,0,0
2020-12-05,TO,Porto Nacional,171820,14,54
2020-10-25,SP,Itatinga,352350,0,7
2020-05-30,TO,Brejinho De Nazare,170370,0,0
2020-12-03,TO,Aparecida Do Rio Negro,170110,0,2
2020-09-04,TO,Itaguatins,171070,0,2
2020-06-04,TO,Sandolandia,171884,0,0
2020-03-28,TO,Abreulandia,170025,0,0
2020-10-03,SP,Uniao Paulista,355570,0,2
2020-04-16,SP,Fernando Prestes,351560,0,0
2020-09-14,TO,Sao Miguel Do Tocantins,172020,0,7
2020-04-13,SP,Varzea Paulista,355650,0,0
2020-10-01,TO,Lavandeira,171215,0,0
2020-08-21,SP,Santo Andre,354780,43,473
2020-07-11,SP,Santana Da Ponte Pensa,354720,0,0
2020-04-17,TO,Miracema Do Tocantins,171320,0,0
2020-07-04,TO,Colinas Do Tocantins,170550,2,3
2020-05-18,SP,Sao Vicente,355100,10,21
2020-04-20,TO,Juarina,171180,0,0
2020-07-21,TO,Sitio Novo Do Tocantins,172080,1,4
2020-04-09,TO,Muricilandia,171395,0,0
2020-11-19,TO,Palmeiropolis,171575,0,7
2020-09-02,TO,Nova Rosalandia,171500,1,1
2020-08-08,SP,Tarabai,355390,2,2
2020-09-02,TO,Sao Sebastiao Do Tocantins,172030,1,0
2020-09-08,TO,Carmolandia,170388,0,1
2020-08-21,TO,Santa Maria Do Tocantins,171888,0,0
2020-06-26,TO,Jau Do Tocantins,171150,0,0
2020-08-04,SP,Tarabai,355390,1,2
2020-10-21,TO,Wanderlandia,172208,0,5
2020-06-18,TO,Tocantinia,172110,1,0
2020-04-04,TO,Dianopolis,170700,1,0
2020-05-13,TO,Pugmil,171845,0,0
2020-11-02,SP,Rincao,354370,0,4
2020-10-31,TO,Dois Irmaos Do Tocantins,170720,0,5
2020-12-03,TO,Sitio Novo Do Tocantins,172080,0,5
2020-07-27,TO,Filadelfia,170770,0,3
2020-05-07,TO,Itapora Do Tocantins,171110,0,0
2020-08-30,TO,Bandeirantes Do Tocantins,170305,0,1
2020-08-22,TO,Santa Tereza Do Tocantins,171900,0,1
2020-07-19,TO,Miracema Do Tocantins,171320,0,2
2020-11-10,TO,Piraque,171720,0,1
2020-11-22,TO,Mateiros,171270,0,0
2020-10-11,SP,Pontes Gestal,354030,0,3
2020-04-15,SP,Vargem Grande Do Sul,355640,0,0
2020-11-16,TO,Novo Acordo,171510,0,0
2020-05-09,TO,Wanderlandia,172208,1,0
2020-04-03,TO,Sao Felix Do Tocantins,172015,0,0
2020-10-30,SP,Sao Jose Do Rio Preto,354980,140,708
2020-05-08,SP,Floreal,351590,0,0
2020-11-14,TO,Sao Miguel Do Tocantins,172020,0,7
2020-05-25,TO,Novo Jardim,171525,0,0
2020-10-21,SP,Varzea Paulista,355650,5,72
2020-07-27,SP,Sud Mennucci,355230,0,0
2020-05-27,TO,Carmolandia,170388,0,0
2020-07-23,TO,Bernardo Sayao,170320,1,0
2020-06-08,TO,Recursolandia,171850,0,0
2020-11-21,TO,Tocantinopolis,172120,1,21
2020-04-18,SP,Macatuba,352800,0,0
2020-11-10,TO,Cariri Do Tocantins,170386,0,4
2020-09-05,TO,Palmeirante,171570,5,3
2020-07-12,TO,Aguiarnopolis,170030,1,4
2020-06-08,TO,Sitio Novo Do Tocantins,172080,0,3
2020-11-03,SP,Serra Azul,355140,0,4
2020-09-29,TO,Rio Sono,171875,0,1
2020-08-21,SP,Presidente Bernardes,354120,2,5
2020-04-26,TO,Pequizeiro,171665,0,0
2020-08-13,SP,Fernao,351565,0,0
2020-10-13,TO,Aurora Do Tocantins,170270,0,0
2020-06-13,SP,Lagoinha,352630,0,0
2020-03-31,TO,Novo Acordo,171510,0,0
2020-05-20,TO,Darcinopolis,170650,3,0
2020-04-13,TO,Aparecida Do Rio Negro,170110,0,0
2020-07-15,TO,Centenario,170410,0,0
2020-10-08,TO,Buriti Do Tocantins,170380,4,0
2020-07-22,TO,Itapiratins,171090,0,0
2020-10-26,TO,Riachinho,171855,0,0
2020-10-11,SP,Sebastianopolis Do Sul,355130,1,0
2020-11-01,TO,Praia Norte,171830,0,2
2020-09-17,TO,Barrolandia,170310,2,1
2020-09-30,SP,Piraju,353880,0,7
2020-12-06,TO,Figueiropolis,170765,0,7
2020-10-05,TO,Divinopolis Do Tocantins,170710,0,0
2020-11-29,TO,Sao Felix Do Tocantins,172015,0,0
2020-08-28,TO,Arraias,170240,0,0
